"year","tree_id","ring_width"
"1817","COPS01XX",NA
"1817","COPS02XX",NA
"1817","COPS03AX",NA
"1817","COPS05XX",NA
"1817","COPS06XX",NA
"1817","COPS07XX",NA
"1817","COPS08XX",NA
"1817","COPS09XX",NA
"1817","COPS10XX",NA
"1817","COPS11XX",NA
"1817","COPS12XX",NA
"1817","COPS13XX",NA
"1817","COPS14XX",NA
"1817","COPS15XX",NA
"1817","COPS16XX",NA
"1817","COPS17XX",1.6
"1817","COPS18XX",NA
"1817","COPS19XX",NA
"1817","COPS20XX",NA
"1817","COPS21XX",NA
"1817","COPS22XX",NA
"1817","COPS23XX",NA
"1817","COPS25AX",NA
"1817","COPS26AX",NA
"1817","COPS27XX",NA
"1817","COPS28XX",NA
"1817","COPS29XX",NA
"1817","COPS30XX",NA
"1817","COPS31XX",NA
"1817","COPS32AX",NA
"1817","COPS33XX",NA
"1817","COPS34XX",NA
"1817","COPS35XX",NA
"1817","COPS36AX",NA
"1817","COPS37XX",NA
"1817","COPS38XX",NA
"1818","COPS01XX",NA
"1818","COPS02XX",NA
"1818","COPS03AX",NA
"1818","COPS05XX",NA
"1818","COPS06XX",NA
"1818","COPS07XX",NA
"1818","COPS08XX",NA
"1818","COPS09XX",NA
"1818","COPS10XX",NA
"1818","COPS11XX",NA
"1818","COPS12XX",NA
"1818","COPS13XX",NA
"1818","COPS14XX",NA
"1818","COPS15XX",NA
"1818","COPS16XX",NA
"1818","COPS17XX",1.58
"1818","COPS18XX",NA
"1818","COPS19XX",NA
"1818","COPS20XX",NA
"1818","COPS21XX",NA
"1818","COPS22XX",NA
"1818","COPS23XX",NA
"1818","COPS25AX",NA
"1818","COPS26AX",NA
"1818","COPS27XX",NA
"1818","COPS28XX",NA
"1818","COPS29XX",NA
"1818","COPS30XX",NA
"1818","COPS31XX",NA
"1818","COPS32AX",NA
"1818","COPS33XX",NA
"1818","COPS34XX",NA
"1818","COPS35XX",NA
"1818","COPS36AX",NA
"1818","COPS37XX",NA
"1818","COPS38XX",NA
"1819","COPS01XX",NA
"1819","COPS02XX",NA
"1819","COPS03AX",NA
"1819","COPS05XX",NA
"1819","COPS06XX",NA
"1819","COPS07XX",NA
"1819","COPS08XX",NA
"1819","COPS09XX",NA
"1819","COPS10XX",NA
"1819","COPS11XX",NA
"1819","COPS12XX",NA
"1819","COPS13XX",NA
"1819","COPS14XX",NA
"1819","COPS15XX",NA
"1819","COPS16XX",NA
"1819","COPS17XX",1.28
"1819","COPS18XX",NA
"1819","COPS19XX",NA
"1819","COPS20XX",NA
"1819","COPS21XX",NA
"1819","COPS22XX",NA
"1819","COPS23XX",NA
"1819","COPS25AX",NA
"1819","COPS26AX",NA
"1819","COPS27XX",NA
"1819","COPS28XX",NA
"1819","COPS29XX",NA
"1819","COPS30XX",NA
"1819","COPS31XX",NA
"1819","COPS32AX",NA
"1819","COPS33XX",NA
"1819","COPS34XX",NA
"1819","COPS35XX",NA
"1819","COPS36AX",NA
"1819","COPS37XX",NA
"1819","COPS38XX",NA
"1820","COPS01XX",NA
"1820","COPS02XX",NA
"1820","COPS03AX",NA
"1820","COPS05XX",NA
"1820","COPS06XX",NA
"1820","COPS07XX",NA
"1820","COPS08XX",NA
"1820","COPS09XX",NA
"1820","COPS10XX",NA
"1820","COPS11XX",NA
"1820","COPS12XX",NA
"1820","COPS13XX",NA
"1820","COPS14XX",NA
"1820","COPS15XX",NA
"1820","COPS16XX",NA
"1820","COPS17XX",1.11
"1820","COPS18XX",NA
"1820","COPS19XX",NA
"1820","COPS20XX",NA
"1820","COPS21XX",NA
"1820","COPS22XX",0.43
"1820","COPS23XX",NA
"1820","COPS25AX",NA
"1820","COPS26AX",NA
"1820","COPS27XX",NA
"1820","COPS28XX",NA
"1820","COPS29XX",NA
"1820","COPS30XX",NA
"1820","COPS31XX",NA
"1820","COPS32AX",NA
"1820","COPS33XX",NA
"1820","COPS34XX",NA
"1820","COPS35XX",NA
"1820","COPS36AX",NA
"1820","COPS37XX",NA
"1820","COPS38XX",NA
"1821","COPS01XX",NA
"1821","COPS02XX",NA
"1821","COPS03AX",NA
"1821","COPS05XX",NA
"1821","COPS06XX",NA
"1821","COPS07XX",NA
"1821","COPS08XX",NA
"1821","COPS09XX",NA
"1821","COPS10XX",NA
"1821","COPS11XX",NA
"1821","COPS12XX",NA
"1821","COPS13XX",NA
"1821","COPS14XX",NA
"1821","COPS15XX",NA
"1821","COPS16XX",NA
"1821","COPS17XX",0.91
"1821","COPS18XX",NA
"1821","COPS19XX",NA
"1821","COPS20XX",NA
"1821","COPS21XX",NA
"1821","COPS22XX",1.25
"1821","COPS23XX",NA
"1821","COPS25AX",NA
"1821","COPS26AX",NA
"1821","COPS27XX",NA
"1821","COPS28XX",NA
"1821","COPS29XX",NA
"1821","COPS30XX",NA
"1821","COPS31XX",NA
"1821","COPS32AX",NA
"1821","COPS33XX",NA
"1821","COPS34XX",NA
"1821","COPS35XX",NA
"1821","COPS36AX",NA
"1821","COPS37XX",NA
"1821","COPS38XX",NA
"1822","COPS01XX",NA
"1822","COPS02XX",NA
"1822","COPS03AX",NA
"1822","COPS05XX",NA
"1822","COPS06XX",NA
"1822","COPS07XX",NA
"1822","COPS08XX",NA
"1822","COPS09XX",NA
"1822","COPS10XX",NA
"1822","COPS11XX",NA
"1822","COPS12XX",NA
"1822","COPS13XX",NA
"1822","COPS14XX",NA
"1822","COPS15XX",NA
"1822","COPS16XX",NA
"1822","COPS17XX",1.7
"1822","COPS18XX",NA
"1822","COPS19XX",NA
"1822","COPS20XX",NA
"1822","COPS21XX",NA
"1822","COPS22XX",0.63
"1822","COPS23XX",NA
"1822","COPS25AX",NA
"1822","COPS26AX",NA
"1822","COPS27XX",NA
"1822","COPS28XX",NA
"1822","COPS29XX",NA
"1822","COPS30XX",NA
"1822","COPS31XX",NA
"1822","COPS32AX",NA
"1822","COPS33XX",NA
"1822","COPS34XX",NA
"1822","COPS35XX",NA
"1822","COPS36AX",NA
"1822","COPS37XX",NA
"1822","COPS38XX",NA
"1823","COPS01XX",NA
"1823","COPS02XX",NA
"1823","COPS03AX",NA
"1823","COPS05XX",NA
"1823","COPS06XX",NA
"1823","COPS07XX",NA
"1823","COPS08XX",NA
"1823","COPS09XX",NA
"1823","COPS10XX",NA
"1823","COPS11XX",NA
"1823","COPS12XX",NA
"1823","COPS13XX",NA
"1823","COPS14XX",NA
"1823","COPS15XX",NA
"1823","COPS16XX",NA
"1823","COPS17XX",0.75
"1823","COPS18XX",NA
"1823","COPS19XX",NA
"1823","COPS20XX",NA
"1823","COPS21XX",NA
"1823","COPS22XX",0.94
"1823","COPS23XX",NA
"1823","COPS25AX",NA
"1823","COPS26AX",NA
"1823","COPS27XX",NA
"1823","COPS28XX",NA
"1823","COPS29XX",NA
"1823","COPS30XX",NA
"1823","COPS31XX",NA
"1823","COPS32AX",NA
"1823","COPS33XX",NA
"1823","COPS34XX",NA
"1823","COPS35XX",NA
"1823","COPS36AX",NA
"1823","COPS37XX",NA
"1823","COPS38XX",NA
"1824","COPS01XX",NA
"1824","COPS02XX",NA
"1824","COPS03AX",NA
"1824","COPS05XX",NA
"1824","COPS06XX",NA
"1824","COPS07XX",NA
"1824","COPS08XX",NA
"1824","COPS09XX",NA
"1824","COPS10XX",NA
"1824","COPS11XX",NA
"1824","COPS12XX",1.17
"1824","COPS13XX",NA
"1824","COPS14XX",NA
"1824","COPS15XX",NA
"1824","COPS16XX",NA
"1824","COPS17XX",1.11
"1824","COPS18XX",NA
"1824","COPS19XX",2.75
"1824","COPS20XX",NA
"1824","COPS21XX",NA
"1824","COPS22XX",0.84
"1824","COPS23XX",NA
"1824","COPS25AX",NA
"1824","COPS26AX",NA
"1824","COPS27XX",NA
"1824","COPS28XX",NA
"1824","COPS29XX",NA
"1824","COPS30XX",NA
"1824","COPS31XX",NA
"1824","COPS32AX",NA
"1824","COPS33XX",NA
"1824","COPS34XX",NA
"1824","COPS35XX",NA
"1824","COPS36AX",NA
"1824","COPS37XX",NA
"1824","COPS38XX",NA
"1825","COPS01XX",NA
"1825","COPS02XX",NA
"1825","COPS03AX",NA
"1825","COPS05XX",NA
"1825","COPS06XX",NA
"1825","COPS07XX",NA
"1825","COPS08XX",NA
"1825","COPS09XX",NA
"1825","COPS10XX",NA
"1825","COPS11XX",NA
"1825","COPS12XX",1.03
"1825","COPS13XX",NA
"1825","COPS14XX",NA
"1825","COPS15XX",NA
"1825","COPS16XX",NA
"1825","COPS17XX",0.92
"1825","COPS18XX",NA
"1825","COPS19XX",1.54
"1825","COPS20XX",NA
"1825","COPS21XX",NA
"1825","COPS22XX",0.88
"1825","COPS23XX",NA
"1825","COPS25AX",NA
"1825","COPS26AX",NA
"1825","COPS27XX",NA
"1825","COPS28XX",NA
"1825","COPS29XX",NA
"1825","COPS30XX",NA
"1825","COPS31XX",NA
"1825","COPS32AX",NA
"1825","COPS33XX",NA
"1825","COPS34XX",NA
"1825","COPS35XX",NA
"1825","COPS36AX",NA
"1825","COPS37XX",NA
"1825","COPS38XX",NA
"1826","COPS01XX",NA
"1826","COPS02XX",NA
"1826","COPS03AX",NA
"1826","COPS05XX",NA
"1826","COPS06XX",NA
"1826","COPS07XX",NA
"1826","COPS08XX",NA
"1826","COPS09XX",NA
"1826","COPS10XX",NA
"1826","COPS11XX",NA
"1826","COPS12XX",2.03
"1826","COPS13XX",NA
"1826","COPS14XX",NA
"1826","COPS15XX",NA
"1826","COPS16XX",NA
"1826","COPS17XX",0.55
"1826","COPS18XX",NA
"1826","COPS19XX",1.66
"1826","COPS20XX",NA
"1826","COPS21XX",NA
"1826","COPS22XX",0.8
"1826","COPS23XX",NA
"1826","COPS25AX",NA
"1826","COPS26AX",NA
"1826","COPS27XX",NA
"1826","COPS28XX",NA
"1826","COPS29XX",NA
"1826","COPS30XX",NA
"1826","COPS31XX",NA
"1826","COPS32AX",NA
"1826","COPS33XX",NA
"1826","COPS34XX",NA
"1826","COPS35XX",NA
"1826","COPS36AX",NA
"1826","COPS37XX",NA
"1826","COPS38XX",NA
"1827","COPS01XX",NA
"1827","COPS02XX",NA
"1827","COPS03AX",NA
"1827","COPS05XX",NA
